,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov
New Mexico,5,10,13,17,21,23,28,35,43,57,65,83,100,111,135,190,206,235,277,310,357,396,485,481,558,620,648,678,801,901,983,1048,1019,1076,1153,1258,1365,1280,1303,1426,1478,1592,1728,1823,1953,1977,2069,2159,2396,2528,2622,2833,2939,3115,3012,3049,3248,3367,3462,3538,3561,3559,3618,3685,3738,3849,3934,4087,4034,4049,4137,4174,4130,4162,4184,4241,4285,4345,4421,4438,4480,4550,4697,4752,4855,5079,5122,5237,5282,5002,5034,5141,5117,5118,5174,5245,5269,5262,5346,5284,5336,5412,5483,5488,5526,5660,5770,5877,6066,6193,6257,6262,6390,6463,6705,6883,7090,7222,7439,7600,7829,7959,8161,8380,8534,8788,8998,9237,9431,9636,9823,10059,10263,10511,10718,10913,11079,11424,11508,11687,11738,11819,11859,12019,12012,11997,12071,12154,12124,12172,12311,12326,12338,12377,12310,12275,12200,12213,12180,12054,12044,12072,12044,12101,12112,12054,11876,11784,11710,11596,11589,11600,11613,11600,11642,11738,11696,11788,11774,11733,11673,11527,11493,11469,11444,11531,11549,11459,11367,11257,11253,11323,11318,11314,11350,11461,11540,11602,11611,11673,11690,11717,11887,11853,12058,12196,12315,12408,12564,12710,12812,13004,13194,13392,13656,13835,14242,14579,15229,15561,15960,16366,16789,17433,17862,18553,19310,20059,20700,21126,21611,22521,23411,23902,24583,25310
New York,328,421,524,729,956,1692,3017,5332,8352,10316,15676,20610,25969,32492,36994,43611,49784,56044,61674,69294,75540,83081,91655,100732,106672,113792,122315,128888,138203,148280,155840,162941,168510,175200,179175,186205,192933,199483,205030,209278,207269,212321,218127,224936,235187,240498,229824,231343,234511,237654,240586,244278,246444,249085,251204,252938,255509,257708,260072,260052,261290,262011,263551,264726,266907,268118,269648,270143,270857,272030,273886,275111,276573,277422,278071,278719,279326,280379,281457,282160,282790,283378,283987,283673,284185,281592,282405,283099,283945,284479,284865,285300,285922,286582,286962,287500,287970,288358,289873,290836,291533,292322,292773,293391,294064,294592,295301,295312,295670,296178,296232,295984,292718,289550,284019,274852,268098,261819,252745,244159,236117,227392,217727,209034,200636,192652,185322,177417,170387,163129,157032,151976,146519,140708,135714,130821,125571,119892,112022,109271,106989,103360,99582,95536,92398,89419,87044,84492,82714,83542,80897,77703,75200,72726,71441,70726,70333,69079,67698,66790,66311,65863,65282,64897,64013,63090,62639,62340,62219,62192,62062,62036,61749,62052,62035,62204,62650,62737,62702,62041,62293,62107,62246,62587,62762,62591,62436,62428,62409,62870,63279,63564,63422,63034,62968,63064,63537,63882,64157,64242,64294,64706,64979,65757,66483,67221,67346,67459,67961,68564,69797,70577,71179,71374,71615,72309,72996,73774,74913,75902,76412,76695,77237,78786,79836,80760,82062,82852,83443,84659,86123,88105,89690,90887,92232,93234
North Carolina,17,17,24,33,39,64,93,124,176,246,271,410,498,565,827,877,1018,1160,1361,1523,1697,1985,2240,2436,2539,2905,3181,3413,3662,3918,4182,4406,4691,4934,4366,4577,4976,5298,5514,5774,5989,6340,6690,6655,7146,7367,7777,8076,8498,8541,8844,9341,9503,9722,10233,10753,11197,11669,12120,12567,12272,5908,6611,7240,7712,8339,8860,9400,7488,7898,8838,9698,10449,10943,11629,8699,9100,9899,10976,11910,12893,9783,10201,11362,12208,13419,14829,15732,16615,12505,13651,14811,16642,18064,19478,14754,15518,16533,18236,19371,21125,22443,15540,16356,17215,18348,20028,21563,23136,16830,18483,19721,21554,23604,24696,26020,18078,19805,20824,22860,24710,27161,29060,30888,21038,22836,25009,27079,29548,31352,21047,22891,25047,26977,29093,31182,32817,20897,22678,24463,26833,28828,30548,31896,20479,22147,23300,25307,26843,28808,30425,19056,20124,21435,23347,24557,26162,27564,17214,18489,19675,21708,23737,25504,26987,19473,20894,22201,24352,25808,27507,29449,30717,32881,24813,26507,28578,30124,31212,21482,22305,23228,24526,26102,27555,28769,19103,20261,21456,23056,24532,25742,27068,18698,19970,21040,22835,24500,26228,27517,20381,21221,22678,24908,26654,28835,29440,23473,24944,26632,29031,31040,33343,35057,22503,24194,26080,28594,31242,33325,35623,36762,38287,28019,30369,33053,35607,37401,25961,28061,30280,33127,35887,38646,40698,27320
North Dakota,1,1,1,1,1,3,6,18,26,28,30,32,34,42,49,52,66,79,88,94,105,113,115,120,141,148,151,149,163,167,167,179,196,194,214,221,258,336,386,425,417,436,425,448,477,524,573,563,577,590,602,619,649,660,682,710,739,678,667,664,636,656,638,665,648,695,679,668,680,744,838,860,862,869,852,834,621,631,579,551,557,486,454,444,431,432,476,482,501,379,386,391,369,354,348,344,330,336,309,310,293,301,284,234,240,251,253,261,277,297,302,325,342,376,411,412,419,401,439,521,573,623,677,702,720,717,783,799,788,796,814,794,864,921,970,966,1025,1058,1084,1038,1017,1077,1103,1078,1090,1111,1112,1119,1053,1128,1129,1166,1099,1035,1098,1135,1162,1213,1178,1169,1209,1394,1501,1633,1676,1657,1681,1784,1995,2163,2325,2481,2378,2247,2285,2428,2513,2539,2654,2565,2264,2220,2353,2343,2534,2754,2758,2564,2528,2713,2986,3096,3208,3210,3092,3302,3482,3562,3672,3766,3669,3651,3661,3689,3737,3780,3773,3681,3676,3706,3832,3964,4169,4426,4546,4600,4759,4947,5247,5370,5652,5837,6032,5974,6350,6363,6310,6506,6446,6315,6247,6771,7275,7859,8370,8440
Ohio,5,13,26,37,50,67,89,119,171,244,348,436,556,693,852,1118,1381,1624,1894,2144,2482,2821,3221,3637,3924,4308,4615,4955,5299,5647,5883,6162,6411,6576,6924,7277,7701,8569,9669,10720,11178,11215,11382,11430,11544,11513,11543,11621,11791,12149,12493,12731,12941,13196,13180,13162,13027,12794,12095,11162,11062,11147,11035,11198,11374,11515,11604,11716,11688,11409,11469,11530,11562,11497,11564,11499,11363,10941,10928,10959,10766,10763,10666,10459,10460,10314,10214,10022,9872,9754,9403,9167,9002,8875,8658,8537,8565,8573,8613,8794,8802,8854,9214,9358,9730,10283,10934,11400,12037,12465,12804,13303,13686,13844,13645,13799,14260,14550,15108,16214,16412,17088,17902,18628,18701,18985,19168,19900,20441,20720,21144,20969,21118,21259,21661,22174,22311,22442,22087,21777,21888,21896,21261,21110,20960,20221,19770,19250,19058,18885,18747,18760,18254,18220,18055,17891,17856,17561,17480,16999,16551,16435,16393,16457,16141,16215,15869,15789,15773,15932,16064,16312,16485,16489,16573,16904,17226,17639,17833,17891,17482,17581,17706,18018,18313,18261,18505,17963,17656,17417,17355,17200,17217,17260,16554,16202,15915,15914,15880,16131,16395,16545,16306,16363,16680,16757,16991,17461,17587,17949,18515,19504,19997,20641,21392,21770,22725,23803,24705,25837,26570,27566,28148,29137,30126,31399,32907,34105,35155,35845,36640,38370,40447,41478,43410,44860
Oklahoma,3,2,3,6,9,18,30,44,47,51,64,78,102,158,242,313,361,412,463,541,688,844,949,1116,823,893,883,923,1082,1184,1252,1352,910,1016,985,1071,1174,897,925,1003,941,952,954,972,919,919,916,943,940,995,1117,1212,1333,1124,1198,1039,1085,1094,1156,1113,1135,1031,1015,1018,1000,1004,1077,1165,1060,967,1015,1009,1116,1038,1063,994,772,708,669,646,734,728,754,753,782,791,765,821,843,937,959,1103,1098,1219,1294,1480,1517,1642,1917,2268,2255,2615,2716,2769,2994,3066,3149,3103,3162,3200,3285,3118,3096,3148,3282,3284,3531,3811,3948,3986,4028,4222,4328,4506,4675,5015,4908,4929,5419,5348,5231,6023,5995,5884,5355,5532,6091,6938,6903,6714,6793,6759,6900,6855,6886,6578,6598,6488,6654,6732,6911,6980,6917,6783,6810,6971,7234,7457,7515,7274,7177,7265,7614,7839,8030,8132,7912,7661,7586,7712,7949,8288,8749,8601,8651,8745,9071,9597,9695,9953,9930,9661,9293,9371,9635,9889,10311,10409,10334,10274,10493,10901,11394,12019,12628,12412,12459,12616,12752,13056,13379,13244,13068,12851,12762,12700,12659,12772,13061,13066,13190,13515,13893,13769,13815,13872,13928,13913,14339,14490,14485,14533,14659,14666,15017,15132,15740,15946,15791,15480,15074,14968,15032,15133,15684,15948
Oregon,24,30,32,38,38,65,72,85,111,133,157,186,204,258,305,403,466,535,590,672,717,805,877,973,1041,1103,1148,1201,1277,1323,1396,1475,1531,1578,1605,1672,1715,1772,1836,1881,1924,1981,2044,2091,2166,2220,2262,2286,1485,1547,1615,1666,1711,1790,1866,1676,1743,1819,1908,1976,2031,2103,1876,1936,1998,2069,2080,2143,2180,2251,2266,1823,1847,1885,1907,1925,1996,2041,2086,2138,2196,2254,2284,2346,2421,2515,2605,2407,2521,2487,2541,2716,2834,2965,2965,3209,3459,3578,3677,3882,4028,4214,4303,4478,4618,4722,4967,5243,5490,5581,5727,5979,6326,6668,6958,7256,7334,7508,7641,7981,8213,8610,8927,9107,9432,9673,10062,10323,10667,11094,11247,11489,11741,11931,12281,12281,12928,13115,13429,13674,14024,14335,14620,14899,15078,15367,15642,15849,16177,16544,16805,16905,17180,17402,17635,17873,18277,18519,18644,18811,18927,19187,19418,19704,19931,20101,20330,20391,20534,20748,20955,21212,21316,21398,21463,21692,21928,22178,22365,22510,22617,22700,22866,23056,23341,23518,23634,23790,23964,24163,24430,24683,24884,25035,25318,25491,25842,26282,26545,26783,26909,27198,27230,27564,27848,28188,28446,28651,28889,29150,29621,30028,30424,30762,30967,31274,31651,32013,32417,32795,33011,33265,33602,33907,34263,34798,35185,35547,35880,36243,36656,37219,37813,38331,38837,39385
Pennsylvania,22,41,47,65,78,111,154,206,302,389,476,638,844,1116,1671,2196,2717,3378,4103,4898,5890,7136,8280,10212,11284,12872,14619,16295,18052,19724,20653,21709,23052,24119,25324,26248,28314,29979,30847,31916,33168,34668,34718,37763,39243,40193,40603,42191,42609,44693,46154,47302,48301,49089,49728,50507,51330,52674,53808,55133,55635,51143,51560,52420,53321,54269,54593,55257,55913,56473,57183,27503,26473,25888,25602,26080,26728,24066,23607,23100,22454,22712,22790,22195,21530,20881,20953,20324,20362,20303,20339,20479,20657,20640,20537,20545,20486,20408,20370,20472,20601,20507,20724,16255,14661,15165,15718,16209,16525,16813,16974,17075,17241,17404,17410,17415,17945,18708,19091,19223,19354,19366,19482,19694,19943,20902,21300,21501,21518,21520,22630,23281,23584,23721,23981,23966,24015,24603,24873,25081,25276,25470,24348,24417,24880,25687,25215,25375,24391,24342,24986,24891,25018,24012,24199,24338,24420,23198,23503,23492,23674,22551,22699,22748,22772,21701,21781,21879,22000,22171,20894,20907,21173,21907,21564,22969,21815,23159,21808,22097,23621,22367,22485,22647,22782,22782,23138,23225,23381,23524,23619,23345,23988,23981,25574,25678,24280,25090,24462,25291,24858,26419,25565,25536,25756,26671,25770,26170,26430,27696,28571,28819,28827,29838,29019,30834,31732,31984,32384,32373,33455,33186,34737,35535,35928,38152,38396,39773,39861,41950,42535,43036,45506,45828,47507,47228
Rhode Island,5,13,18,18,19,21,32,43,58,71,83,108,123,142,169,205,233,293,392,462,526,618,670,760,885,1055,1248,1500,1754,2015,2387,2645,2908,3073,3309,3578,3926,4175,4426,4726,5063,5395,5724,6093,6459,6728,6973,7148,7434,7749,8037,8306,8437,8573,8814,9067,9342,9548,9726,9980,10132,10275,10459,10620,10810,10987,11204,11311,11412,11583,11721,11854,12020,12105,12166,12218,12339,12443,12536,12671,12749,12814,12888,12966,13036,13105,13180,13234,13274,13303,13347,13432,13499,13559,13600,13622,13673,13706,13728,13776,13820,13840,13863,13910,13971,13999,14034,14083,14112,14119,14152,14176,14244,14295,14311,14338,14360,14407,14445,14507,14554,14628,14658,14686,14736,14775,14868,14934,15008,15065,15117,15176,15272,15346,15455,15560,15658,15702,15832,15921,16063,16157,16235,16321,16369,16506,16597,16703,16814,16889,16973,16998,17098,17173,17262,17345,17429,17506,17564,17642,17722,17803,17933,18051,18122,18171,18237,18324,18442,18497,18578,18619,18661,18725,18780,18872,18934,19012,19044,19100,19122,19174,19270,19372,19458,19547,19598,19688,19808,19914,20054,20177,20282,20321,20410,20529,20649,20760,20891,21000,21029,21154,21325,21505,21656,21823,21943,22010,22155,22336,22563,22821,23005,23187,23260,23403,23587,23883,24120,24373,24669,24784,25085,25452,25914,26377,26795,27111,27301,27670,28100,28477,28982,29402,29870,30099
South Carolina,12,13,19,28,32,45,57,78,126,172,194,297,341,422,452,532,653,768,919,1075,1284,1544,1689,1903,2033,2215,2400,2525,2764,3036,3172,3284,3401,3507,3601,3878,4028,1449,1581,1640,1800,1950,2098,1283,1460,1692,1814,1923,2031,2236,1209,1432,1563,1688,1760,1847,2045,2269,2425,2548,2674,2802,2899,3051,3068,2359,2511,2633,2741,2854,3052,3312,3567,3761,3839,4074,4264,4427,4762,5025,5492,5777,5114,5336,5688,5758,6220,6594,7104,6946,7477,8156,8136,8926,9777,10366,9930,10494,11496,12576,12686,13597,14613,13997,15289,16420,16611,18220,19615,20954,20700,22214,24003,24336,26188,27662,29209,27989,29530,31316,31269,33559,35525,37055,36393,38270,40062,40985,42520,44907,46377,46081,47746,49283,48945,50286,51468,52688,50864,52574,54272,55691,57257,58437,59600,60802,62055,63350,59835,61048,62013,62729,60626,61436,62342,61376,62376,62991,63434,61633,62365,63246,63347,64243,64935,65499,61119,61688,62145,63490,64763,65842,66508,67337,67966,69163,70776,71722,73431,74056,74432,74690,75467,71223,69985,69805,70103,69881,69615,70212,70313,70599,70648,70741,70824,70933,71349,71751,72321,72533,72688,73240,72873,72560,72824,74497,74155,74430,74548,74434,74764,75044,75369,75739,76065,76196,76434,77039,77532,77873,78221,78310,78435,78597,78968,79352,79516,80352,80750,80844,80853,81230,81483,81682,82621,83037
South Dakota,7,8,8,8,9,10,10,10,13,13,20,21,21,27,32,36,41,60,66,73,76,107,118,135,153,195,219,245,285,359,439,538,667,735,850,950,968,1006,1101,995,950,941,914,872,981,1046,954,947,906,898,858,849,853,860,846,818,893,1095,1289,1289,1353,1374,1386,1373,1332,1306,1334,1264,1321,1176,1126,1110,1155,1217,1196,1151,1114,1119,1142,1174,1176,1218,1099,1102,1186,1121,1213,1129,1163,1065,1056,1114,1191,1028,1023,1054,921,1005,1065,905,914,987,914,879,888,908,904,929,950,920,915,915,930,949,987,1022,1065,996,986,1028,1011,1001,995,999,992,1007,972,997,988,970,964,956,936,946,956,1017,1051,1061,1040,1051,1015,1023,1065,1064,1100,1090,1107,1145,1143,1186,1289,1311,1226,1230,1227,1272,1255,1358,1371,1341,1402,1451,1561,1729,1742,1764,1780,1994,2207,2394,2647,2869,2958,2982,3111,3255,3278,3308,3273,3150,2939,2697,2723,2787,2792,2741,2782,2672,2733,2913,3114,3257,3158,3208,3140,3438,3629,3853,4098,4153,4194,4054,4035,4222,4384,4517,4680,4690,4600,4511,4673,5188,5533,5865,6062,6044,6604,7132,7312,7768,8012,8388,8441,8688,9273,9862,10218,10745,11061,11188,11933,12462,13520,14373,13138,13325
Tennessee,18,26,32,39,52,74,100,154,233,370,503,613,771,903,1095,1197,1505,1661,1863,2245,2521,2942,2909,2862,3294,3381,3600,3656,3619,3843,3627,3703,3830,3730,3748,3925,3430,3383,3688,3852,3409,3664,3905,4188,4544,4959,5014,4943,5031,5198,6141,6734,7153,7271,7108,7112,7074,7189,7157,7373,7255,7510,7467,7531,7391,7464,7438,7824,7104,6440,6865,6513,6715,7064,7196,7288,7037,7407,7809,7009,7449,7994,8078,8518,8076,8187,8530,8741,9301,9127,8917,9383,9233,9338,10061,10781,10627,10936,10371,11553,11084,11509,11455,11693,11986,12187,13114,13429,13429,14743,15306,16423,17332,18488,19460,20531,20482,21022,22565,23272,24083,24833,25364,27529,27749,28421,29494,30270,31792,32953,32933,33221,33781,34401,35157,36024,38239,38272,40806,37673,37604,38542,39466,40083,38666,38065,37404,37606,38219,39030,40492,39511,38331,37814,38047,37809,38302,39687,38545,37456,37263,36720,36609,37094,38316,36975,35754,35940,36090,35801,36456,36599,36315,35663,35359,16163,15604,16117,16902,17027,15693,14958,15047,15160,13880,13881,15369,14444,14734,14269,15120,14241,15452,15502,15109,14785,14081,14484,14473,15475,15313,14246,14353,14150,13722,13502,14229,15881,15728,16237,16752,16620,16933,18101,20072,19092,19245,19799,18791,19650,21109,23307,22435,22648,22341,23803,24243,26389,27473,26219,26157,26346,26478,25432,24898,26748
Texas,28,44,57,73,85,109,196,283,392,472,592,807,1031,1163,1609,1979,2369,2803,2880,3664,4082,4856,5568,5989,6559,7555,8430,9572,10519,10930,11951,11999,12649,12801,13245,13346,13974,14289,14925,15450,16237,16522,16675,15638,14713,15523,14862,15530,16316,16669,18129,17028,17249,17231,18409,18483,18719,19002,15940,17226,18214,19159,20275,21301,21672,21903,22238,22849,23397,22488,22965,23611,24316,24997,22687,22714,22584,23353,23493,23557,24417,24690,25536,25714,26561,27730,28321,28445,29335,30468,31692,33815,33305,34468,34103,35619,38707,40674,42760,45991,48721,50638,55379,59503,63822,68495,72633,77062,79918,85589,90773,96165,101953,107710,109859,112161,118800,124801,131259,138812,145328,149666,151749,158028,164144,170448,174608,178359,179427,185340,188813,190822,193268,194593,195190,194056,191073,197672,193564,195968,196915,195845,193502,199053,191613,194577,195185,195093,195311,195833,195575,197325,197130,194577,193592,194602,193440,190239,190734,188781,183494,177722,176304,173961,170110,167616,166697,161788,156063,156029,149612,148639,147461,143183,142311,138042,133199,128885,128747,126969,127610,126473,125517,127231,126587,125406,123943,121848,121328,122196,122444,122237,121645,122441,108316,108593,107204,108158,108049,102387,101275,103529,102965,102725,103119,100997,100304,100729,100826,101194,102835,104019,105194,106473,107911,110220,111864,113360,115472,116705,117592,117376,119274,119092,121080,123633,125228,126941,128713,130946,133692,135683,137256,139358,140368,144589
Utah,5,9,10,28,39,51,63,80,112,136,180,256,297,345,401,478,600,717,802,882,1005,1067,1239,1409,1586,1636,1699,1807,1937,2059,2162,2259,2127,2175,2304,2444,2564,2463,2363,2506,2376,2523,2689,2855,3019,3194,3304,3410,3562,2687,2843,2747,2940,3082,3208,3352,3478,3673,3852,3999,3113,3092,3278,3108,3118,3272,3440,3121,3247,3437,3186,3368,3265,3214,3205,3173,3255,3469,3811,4075,3547,3635,3770,3879,4068,4344,4889,4837,4943,5041,5149,5534,5503,5728,5922,6085,6322,6643,6901,7484,7523,7645,7885,8080,8287,8568,8787,8803,9002,9291,9647,9836,10018,10609,10554,10621,10831,11075,11376,11490,11755,11746,11966,12086,12141,12065,12397,12475,12668,12959,12775,12729,12786,12739,12974,12959,12901,12807,12664,12259,12135,11762,11645,11475,11248,11137,11090,10966,10669,10301,9877,9726,9639,9428,9254,8937,8612,8588,8398,8233,8261,8237,8195,8077,7899,7810,7841,8244,7642,7582,7657,7723,7710,7656,7754,7917,7873,7956,8005,8142,8213,8162,8044,8223,8418,8752,9068,9237,9582,10113,10846,11455,11922,12293,12656,13120,13815,14722,15293,15961,16459,16835,17442,18081,18516,18998,19748,20276,20417,20661,21226,21459,21733,22020,22349,22714,22964,23249,23328,23647,23685,23981,24399,24843,25400,26254,26773,27165,27297,27704,28297,28639,29579,29951,30597,30823
Vermont,2,2,5,8,12,12,19,22,27,47,50,70,88,115,149,174,199,223,244,280,305,321,372,441,490,520,552,582,605,655,686,700,720,723,729,733,744,765,774,778,778,783,782,783,797,805,808,815,815,817,829,835,845,850,855,150,145,129,124,97,89,87,87,87,84,77,76,71,70,66,69,64,63,63,65,65,68,64,61,57,53,48,53,55,90,90,103,118,130,139,137,152,157,163,163,161,162,161,162,171,171,181,181,182,198,197,201,198,200,203,199,193,210,213,183,186,173,159,151,162,155,161,151,149,150,158,158,157,157,157,165,162,158,165,152,158,158,156,155,151,143,146,133,131,130,125,125,129,130,124,122,122,119,118,116,122,119,120,126,125,121,123,125,129,128,128,128,131,132,131,134,137,141,145,146,143,143,138,134,128,131,130,122,117,123,121,129,120,114,114,112,111,109,104,106,99,100,97,101,100,97,90,88,88,99,104,105,134,131,134,142,142,148,151,154,155,153,160,170,181,190,192,197,205,211,235,257,282,284,289,294,300,308,321,322,335
Virginia,18,30,40,44,48,64,76,96,120,149,215,246,281,380,445,588,720,866,993,1221,1448,1663,1964,2354,2584,2822,3268,3568,3931,4386,4945,5131,5131,5296,5584,5730,6150,6685,6993,7366,7982,8593,9059,9512,10258,10707,11262,12032,12397,13190,14124,14803,15514,16311,17046,16809,18067,18533,19245,20118,21096,21785,22265,23180,24017,25003,25386,26019,26833,27563,28767,28851,29543,29971,31374,32879,33601,34591,35527,36496,37364,38107,38821,39312,40127,40687,41545,42671,43217,43565,43837,44232,44782,45197,45782,46104,46420,46851,47159,47628,48229,48737,49182,49624,50088,50453,51002,51555,51999,52426,52944,53286,53423,53837,54519,55111,55440,55946,56459,56986,57784,58549,59394,60344,61043,62008,62780,63537,64372,65386,66237,67088,68011,68704,69721,70734,71607,73050,73349,74218,75035,75777,76579,77456,78633,79622,80253,80933,82840,84024,84837,85461,86249,86922,87870,88991,89675,90612,91209,91976,92620,93364,94175,95380,96056,96677,97560,98261,99288,100176,101284,102179,102929,103804,104582,105621,106625,107414,108565,109145,109951,110625,111756,112786,113942,114780,115467,116226,116939,117869,118991,119817,120616,121214,121971,122463,123280,124112,125009,125552,125938,126753,127430,127780,128685,129723,130749,131388,131779,132199,133929,134969,136104,136866,137670,138776,139482,140722,141805,142820,143671,144275,145099,146031,147259,148339,149339,150272,151111,152107,153352,154715,156067,157528,158693,159636
Washington,410,530,567,684,799,868,1031,1213,1317,1575,1777,1987,2222,2332,2936,3401,3997,4276,4550,4767,5031,5750,6112,6714,7022,7106,7440,7997,8123,8638,8880,8700,8855,8824,8865,8739,8847,9275,9416,9655,9823,10025,10266,10653,10782,10973,11123,11215,11429,11674,12491,12838,13101,12871,12959,13196,13368,13550,12893,13047,13235,13114,13056,13272,13263,13445,13413,13502,13470,13623,13694,13776,13947,14124,14205,14191,14367,14718,14868,14973,15175,15230,15149,15254,15390,15738,15758,15887,16098,16189,16246,16317,16580,16566,16753,16944,17188,17397,17757,18147,18348,18559,18798,19293,19768,19879,20271,20797,20764,21383,21755,22358,22847,23227,23391,23782,24352,24570,25169,25646,26176,26520,26797,27678,28305,28849,29759,30204,30762,31175,31243,31892,32427,33114,33843,34550,35111,35884,36380,36925,37431,37931,38249,38265,38629,39337,39850,40464,40505,41146,41265,41740,41965,42276,42739,42857,43181,43580,43409,43386,43660,43944,44087,44345,44502,44475,44503,44742,44907,45249,45480,45677,42968,43046,43319,43671,43818,43911,44056,44177,41086,41326,41540,41739,41930,42047,41899,42120,42334,42481,42781,42941,43141,43573,43722,43353,43644,44022,44241,44511,44849,45084,45482,45901,46290,46555,46727,46796,47092,47511,48053,48412,48666,48813,49394,49757,50293,50818,51257,51629,51911,52354,52230,52430,52948,53510,54010,54293,54919,55271,55388,55999,56810,57420,57878,58797
West Virginia,0,0,0,0,0,1,1,2,7,11,12,16,20,52,76,96,113,123,144,161,189,215,235,280,321,341,408,479,518,512,528,520,539,537,559,579,612,582,645,653,678,709,725,753,767,785,802,576,588,600,623,653,664,602,620,509,530,533,556,570,509,507,532,559,494,504,504,515,496,521,555,656,547,589,599,600,618,629,624,615,632,620,605,601,599,590,603,609,605,613,601,583,593,615,624,627,617,634,665,711,740,778,755,688,682,700,636,633,630,581,540,564,580,637,693,806,829,810,964,1013,1132,1252,1329,1333,1328,1460,1430,1555,1486,1569,1576,1552,1594,1534,1579,1603,1689,1616,1581,1625,1604,1711,1761,1840,1938,1865,1817,1823,1796,1823,1877,1914,1865,1895,1953,1973,1999,1975,1941,1830,1726,1806,1756,1702,1736,1748,1722,1749,1661,1763,1820,1914,2019,2122,2148,2266,2344,2530,2610,2747,2785,2806,2856,2849,3031,3143,3184,3160,3236,3332,3375,3411,3517,3542,3543,3464,3550,3655,3705,3854,3987,4014,3991,4068,4153,4173,4288,4330,4330,4327,4256,4435,4446,4579,4578,4687,4612,4623,4915,4839,4940,5095,5123,5106,4473,4602,4712,4829,5031,4428,4557,4747,4987,5176,5415,5557
